[              ],1
[          tag ],1
[        40],1
[      desired ],1
[     DATE],1
[ $$is_up -ne 0 ],1
[ 0 ],3
[ 1 ],3
[ 12],1
[ 153 ],1
[ 154 ],1
[ 2 ],2
[ 2017-08-23 12:42:36 021 ],1
[ 2],1
[ 3706],1
[ 38517 ],1
[ 4 ],1
[ 4],1
[ 584 ],1
[ @comparison_operator ],1
[ A Step],1
[ AS ],4
[ AS name ],1
[ Account],1
[ CURRENT QTY],1
[ Center Name],1
[ Center],1
[ Contact Number],1
[ ContractedAmount ],1
[ County],1
[ CustBarcode ],1
[ DOB],1
[ Date],1
[ DeliveryDate ],1
[ Desc],1
[ Description],1
[ Drawing No],1
[ FROM from_list ],2
[ FROM fromlist ],1
[ FirstName],1
[ GROUP ],2
[ GrossProfit],1
[ HTA],1
[ I omitted columns],1
[ Index Code ],1
[ LastName],1
[ MONTH ],1
[ NATURAL ],1
[ No],1
[ OK ],2
[ ONLY ],1
[ Owner Mobile],1
[ PC],1
[ PERCENT ],1
[ POPULATE LIST VIEW ],1
[ Parse code ],1
[ Phone1],1
[ Phone2],1
[ Phone3],1
[ Phone],1
[ Prior Months Orders Placed],1
[ RECORD 0 ],1
[ RECORD 1 ],1
[ RECORD 2 ],2
[ RECORD 4 ],1
[ Rework duration],1
[ Road],1
[ RowType ],1
[ S-ID],2
[ TABLE ],1
[ TempCol_2],1
[ Town],1
[ Type],1
[ UM],1
[ USERID HERE ],1
[ Uid ],4
[ UnitCost ],1
[ Value ],1
[ Value],1
[ Village],1
[ WARN],1
[ WHERE condition ],2
[ WITH GRANT OPTION ],3
[ WITH TIES ],2
[ X ],1
[ YEAR ],1
[ ],11
[ _],1
[ account2],1
[ all 12 x columns_name],1
[ center_lat ],1
[ center_lon ],1
[ column1],1
[ column_name ],1
[ conflict_target ],1
[ create_date_time],1
[ create_user],1
[ date ],1
[ email ],2
[ generation_expression value ],1
[ here I need to pass the error code associated with item_not_found ],1
[ hint ],1
[ id ],2
[ key ],1
[ log_description],1
[ myID: 1 ],1
[ no fields are updated ],2
[ others conditions ],1
[ plant_error_report ],1
[ plant_service_next ],1
[ plant_status_ddl_id ],1
[ position ],1
[ previous request ],1
[ producet_name],1
[ req_ser],2
[ req_year],2
[ rn ],1
[ row for row in result ],1
[ search_string ],1
[ selectedCategory ],1
[ sh_ref ],1
[ str ],1
[ student_Grade],1
[ template_key ],1
[ thing1],2
[ thing2],2
[ thing3],2
[ thing4],1
[ thing5],2
[ worktype_key ],1
[# Consumers],1
[# Retail Customers],1
[# Spots],1
[# Whole Sale Customers],1
[# mep count],1
[# of 3rd Party Devices],5
[# of Amb],1
[# of Buy Parts],5
[# of Customers Rented],1
[# of Docs],5
[# of HR Devices],6
[# of Make Parts],5
[# of Ref Parts],2
[# of Robots],5
[# of Software],5
[# of Std Cost Parts],2
[# of fail alls],1
[# supplier],1
[# temporary table name],1
[############# HERE I WANT SESSION RIDE ID #############],1
[#12:0],1
[#12:1],1
[#12:2],1
[#12:3],1
[#12:5],1
[#75:0],1
[$ Amount],2
[$ Completed],1
[$ Cost],4
[$ Goal],1
[$ Precio de Venta Historico],1
[$ Sales ],1
[$ Sales],1
[$$5000 and above],1
[$0 to $99],1
[$0-$25],1
[$1-$500],1
[$100 to $199],1
[$2501-$5000],1
[$501-$2500],1
[$stmt allrows $params],1
[$stmt allrows],1
[----------],1
[---],1
[--],3
[--dev],1
[--dry-run],1
[--ignore-platform-reqs],1
[--no-autoloader],1
[--no-custom-installers],1
[--no-dev],1
[--no-progress],1
[--no-scripts],1
[--prefer-dist],1
[--prefer-source],1
[-10],6
[-11],6
[-12],6
[-1],12
[-2],8
[-3],8
[-4],8
[-5],8
[-6],6
[-7],6
[-8],6
[-9],6
[-SUBMIT-],1
[-T],1
[-],1
[-k],1
[0   -21  ],1
[0 - 2 days],1
[0 - 4 days],1
[0 - 7 days],1
[0 - Front End - Macros-Mapping],1
[0 rows affected or returned ],2
[0-0],1
[0-19000],1
[0-1],1
[0-20000],1
[0-3 Months],2
[0-30],4
[0-6 m],1
[0-6388],1
[0-9A-Z],1
[0-9],32
[0001],1
[0002],1
[0003],1
[00080020],1
[000],1
[001100],1
[001],1
[0020000d],1
[009_Network],1
[00:00-00:30],1
[00:00],3
[00:09:50],1
[00:30-01:00],1
[00O2THVIBBMJV8JIFLLW439K8],1
[00TblFecha],2
[01-01-2019],1
[01-08-2010 Duration],1
[01-08-2010 InTime],1
[01-08-2010 OutTime],1
[01-11-2018],1
[01-12-2018],1
[01-Issuing_zone],1
[0100],1
[0102],1
[0123456789],1
[012_Discipline],1
[014R],2
[01:00-01:30],1
[01:00],2
[01:30-02:00],1
[01],13
[02 Jul 2015],1
[02-01-2019],1
[02-08-2010 Duration],1
[02-08-2010 InTime],1
[02-08-2010 OutTime],1
[02-11-2018],1
[02-12-2018],1
[02-Issuing_country_name],1
[02020],1
[0203],1
[02:00-02:30],1
[02:00],2
[02:30-03:00],1
[02],11
[03-08-2010 Duration],1
[03-08-2010 InTime],1
[03-08-2010 OutTime],1
